Date;Type;Merchant/Description;Debit/Credit;Balance;
04/09/2025;PAYMENTS;**** ******* *** ****** ******* ** ******* ** ******** ******* ********* ****** ******* *;-£650.00;+£145.77;
04/09/2025;PAYMENTS;**** ******* *** ****** ******* ** ******* ** ******** ******* ********* ****** **** * ***;-£650.00;+£795.77;
04/09/2025;PAYMENT;****** ******** ******* *********** ****** **** * *******;+£1300.00;+£1445.77;
04/09/2025;DD;DIRECT DEBIT PAYMENT TO PLUM REF VQY*TB*, MANDATE NO ****;-£5.89;+£145.77;
02/09/2025;CARD PAYMENT;**** ** ********** **** ***** ***** ** **********;-£6.10;+£151.66;
01/09/2025;CARD PAYMENT;**** ** ***** **** ***** ***** ** **********;-£9.12;+£157.76;
30/08/2025;CARD PAYMENT;**** ******* ** ******* **********   ** **********;-£5.99;+£166.88;
29/08/2025;PAYMENTS;**** ******* *** ****** ******* ** **** ****** ********* ********** * ******* ** **;-£37.50;+£172.87;
29/08/2025;CARD PAYMENT;***** ******** ****** **** ***** ***** ** **********;-£3.30;+£210.37;
29/08/2025;CARD PAYMENT;**** ******* ** ***** *** ** **** ****   ** **********;-£39.96;+£213.67;
28/08/2025;CARD PAYMENT;********* **** ***** ***** ** **********;-£6.10;+£253.63;
28/08/2025;CARD PAYMENT;**** *********** **** ***** ***** ** **********;-£9.24;+£259.73;
28/08/2025;CARD PAYMENT;**** **************** **** ***** ***** ** **********;-£21.91;+£268.97;
28/08/2025;DD;DIRECT DEBIT PAYMENT TO PLUM REF VQY*TB*, MANDATE NO ****;-£6.21;+£290.88;
27/08/2025;CARD PAYMENT;********* **** ***** ***** ** **********;-£7.09;+£297.09;
27/08/2025;CARD PAYMENT;********* **** ***** ***** ** **********;-£16.80;+£304.18;
27/08/2025;CARD PAYMENT;****** **** ***** ***** ** **********;-£2.00;+£320.98;
27/08/2025;CARD PAYMENT;** **** *** *** *** **** ***** ***** ** **********;-£8.00;+£322.98;
26/08/2025;PAYMENT;****** ******** ******* ********* **** **** ******;+£8.00;+£330.98;
25/08/2025;CARD PAYMENT;******* **** ***** ***** ** **********;-£1.99;+£322.98;
25/08/2025;PAYMENTS;**** ******* *** ****** ******* ** **** ****** ********* ******* * ******* ** **;-£15.00;+£324.97;
24/08/2025;CARD PAYMENT;******* ****** **** ***** ***** ** **********;-£10.98;+£339.97;
23/08/2025;CARD PAYMENT;******* *** **** ***** ***** ** **********;-£18.50;+£350.95;
22/08/2025;CARD PAYMENT;**** **** ***** ***** ** **********;-£1.59;+£369.45;
22/08/2025;CARD PAYMENT;************ **** ***** ***** ** **********;-£13.50;+£371.04;
22/08/2025;CARD PAYMENT;******* ***** **** ***** ***** ** **********;-£15.28;+£384.54;
22/08/2025;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£18.00;+£399.82;
22/08/2025;CARD PAYMENT;****** ****** * ****** **** ***** ***** ** **********;-£9.47;+£417.82;
21/08/2025;CARD PAYMENT;***** *************** **** ***** ***** ** **********;-£12.00;+£427.29;
21/08/2025;CARD PAYMENT;**** *************** **** ***** ***** ** **********;-£40.09;+£439.29;
21/08/2025;CARD PAYMENT;**** ** ********** **** ***** ***** ** **********;-£14.18;+£479.38;
21/08/2025;CARD PAYMENT;**** ** ********** **** ***** ***** ** **********;-£0.85;+£493.56;
21/08/2025;DD;DIRECT DEBIT PAYMENT TO PLUM REF VQY*TB*, MANDATE NO ****;-£8.99;+£494.41;
20/08/2025;PAYMENTS;**** ******* *** ****** ******* ** **** ****** ********* *** **** * ******* ** **;-£1.50;+£503.40;
20/08/2025;CARD PAYMENT;********* **** ****** **** ***** ***** ** **********;-£18.00;+£504.90;
20/08/2025;CARD PAYMENT;********* **** ***** ***** ** **********;-£2.19;+£522.90;
20/08/2025;CARD PAYMENT;*** ***** ***** **** ***** ***** ** **********;-£15.90;+£525.09;
20/08/2025;CARD PAYMENT;******** **** ** ** **** ***** ***** ** **********;-£15.00;+£540.99;
20/08/2025;PAYMENTS;**** ******* *** ****** ******* ** **** ****** ********* ********* * ******* ** **;-£2.81;+£555.99;
20/08/2025;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£3.96;+£558.80;
19/08/2025;CARD PAYMENT;**** ******* ** *** ***** ********   ** **********;-£4.99;+£562.76;
19/08/2025;CARD PAYMENT;********* **** ****** **** ***** ***** ** **********;-£4.60;+£567.75;
19/08/2025;CARD PAYMENT;********* **** ****** **** ***** ***** ** **********;-£4.60;+£572.35;
19/08/2025;CARD PAYMENT;******** ******* * **** ***** ***** ** **********;-£14.10;+£576.95;
19/08/2025;CARD PAYMENT;******** ******* * **** ***** ***** ** **********;-£10.00;+£591.05;
18/08/2025;CARD PAYMENT;** ****** ****** **** ***** ***** ** **********;-£9.50;+£601.05;
18/08/2025;CARD PAYMENT;* * ****** *** **** ***** ***** ** **********;-£1.39;+£610.55;
18/08/2025;CARD PAYMENT;*************** **** ***** ***** ** **********;-£15.00;+£611.94;
18/08/2025;CARD PAYMENT;********* **** ***** * **** ***** ***** ** **********;-£3.50;+£626.94;
18/08/2025;CARD PAYMENT;**** ******* ** *** ***** ** *****   ** **********;-£4.50;+£630.44;
17/08/2025;CARD PAYMENT;***** **** ***** ***** ** **********;-£48.40;+£634.94;
17/08/2025;CARD PAYMENT;***** *** ******* *** **** ***** ***** ** **********;-£3.00;+£683.34;
17/08/2025;CARD PAYMENT;**** ** *** **** ***** ***** ** **********;-£15.92;+£686.34;
16/08/2025;CARD PAYMENT;** ***** **** ***** ***** ** **********;-£14.70;+£702.26;
16/08/2025;CARD PAYMENT;********* **** ****** **** ***** ***** ** **********;-£18.00;+£716.96;
16/08/2025;CARD PAYMENT;******** **** ***** ***** ** **********;-£22.00;+£734.96;
16/08/2025;CARD PAYMENT;** ***** **** ******** **** ***** ***** ** **********;-£16.48;+£756.96;
16/08/2025;CARD PAYMENT;* * ****** *** **** ***** ***** ** **********;-£18.53;+£773.44;
16/08/2025;CARD PAYMENT;******** *** **** ***** ***** ** **********;-£2.60;+£791.97;
15/08/2025;CARD PAYMENT;**** *************** **** ***** ***** ** **********;-£15.01;+£794.57;
15/08/2025;CARD PAYMENT;******** *** **** ***** ***** ** **********;-£4.30;+£809.58;
15/08/2025;CREDIT IN;**** **** ****** *** *** ***** ****** *******;+£651.53;+£813.88;
15/08/2025;CREDIT IN;**** **** ****** *** * *** * **** **** ********** *;+£202.51;+£162.35;
14/08/2025;CARD PAYMENT;********* **** ***** ***** ** **********;-£6.57;-£40.16;
14/08/2025;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£2.34;-£33.59;
14/08/2025;CARD PAYMENT;******* *** **** * **** ***** ***** ** **********;-£2.92;-£31.25;
14/08/2025;CARD PAYMENT;******** *** **** ***** ***** ** **********;-£2.60;-£28.33;
13/08/2025;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£10.66;-£25.73;
13/08/2025;CARD PAYMENT;**** ******* ** *** ***** *** ****   ** **********;-£2.99;-£15.07;
12/08/2025;PAYMENTS;**** ******* *** ****** ******* ** ******* ****** ********* ****** * ******* ** **;-£3.80;-£12.08;
11/08/2025;CARD PAYMENT;**** **** ***** ***** ** **********;-£8.03;-£8.28;
10/08/2025;CARD PAYMENT;**** **** ***** ***** ** **********;-£5.46;-£0.25;
09/08/2025;CREDIT IN;****** **** ******************** ** **********;+£1.12;+£5.21;
09/08/2025;CARD PAYMENT;**** *************** **** ***** ***** ** **********;-£20.04;+£4.09;
09/08/2025;CARD PAYMENT;***** ******** ***** **** ***** ***** ** **********;-£2.50;+£24.13;
09/08/2025;CARD PAYMENT;**** ******* ** ***** ***************   ** **********;-£7.99;+£26.63;
08/08/2025;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£5.93;+£34.62;
08/08/2025;CARD PAYMENT;******** *** **** ***** ***** ** **********;-£4.30;+£40.55;
07/08/2025;FOREIGN CURRENCY CONVERSION FEE;******* ******** ********** ***;-£0.03;+£44.85;
07/08/2025;CARD PAYMENT;**** ******* ** ******************** ***** **** **** ********** ** **********;-£1.13;+£44.88;
07/08/2025;CARD PAYMENT;****** **** ***** ***** ** **********;-£7.29;+£46.01;
07/08/2025;CARD PAYMENT;******** **** ******* **** ***** ***** ** **********;-£62.13;+£53.30;
07/08/2025;CARD PAYMENT;**** **** **** ***** ***** ** **********;-£14.99;+£115.43;
07/08/2025;PAYMENTS;**** ******* *** ****** ******* ** ******* ** ******** ******* ********* ****** ******* *;-£150.00;+£130.42;
07/08/2025;PAYMENT;****** ******** ******* *********** ****** **** * *******;+£150.00;+£280.42;
07/08/2025;CARD PAYMENT;**** ******* ** ****** ****   ** **********;-£2.99;+£130.42;
07/08/2025;PAYMENT;****** ******** ******* ********** **** * **** * *******;+£300.00;+£133.41;
06/08/2025;CARD PAYMENT;********************* **** ***** ***** ** **********;-£14.00;-£166.59;
06/08/2025;CARD PAYMENT;**** **** ***** ***** ** **********;-£5.93;-£152.59;
06/08/2025;CARD PAYMENT;**** ******* ** **********************   ** **********;-£109.00;-£146.66;
05/08/2025;PAYMENTS;**** ******* *** ****** ******* ** ******* ****** ********* ***** *** ****** * ******* **;-£3.30;-£37.66;
05/08/2025;CARD PAYMENT;************** **** ***** ***** ** **********;-£5.49;-£34.36;
05/08/2025;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£2.62;-£28.87;
05/08/2025;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£10.06;-£26.25;
04/08/2025;CARD PAYMENT;********* **** ***** ***** ** **********;-£9.39;-£16.19;
04/08/2025;CARD PAYMENT;****** ***** **** ***** ***** ** **********;-£8.00;-£6.80;
04/08/2025;CARD PAYMENT;****************** **** ***** ***** ** **********;-£6.00;+£1.20;
03/08/2025;CARD PAYMENT;****************** **** ***** ***** ** **********;-£3.00;+£7.20;
03/08/2025;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£7.57;+£10.20;
03/08/2025;CARD PAYMENT;************ **** **** **** ***** ***** ** **********;-£8.95;+£17.77;
03/08/2025;CARD PAYMENT;************ **** **** **** ***** ***** ** **********;-£30.00;+£26.72;
03/08/2025;CARD PAYMENT;** *********** **** ***** ***** ** **********;-£6.44;+£56.72;
03/08/2025;CARD PAYMENT;****************** **** ***** ***** ** **********;-£3.00;+£63.16;
02/08/2025;CARD PAYMENT;********** ** ***** ** **** ***** ***** ** **********;-£0.95;+£66.16;
02/08/2025;CARD PAYMENT;********* **** *** **** ***** ***** ** **********;-£5.10;+£67.11;
02/08/2025;CARD PAYMENT;***** ******* **** **** ***** ***** ** **********;-£10.00;+£72.21;
02/08/2025;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£5.60;+£82.21;
02/08/2025;CARD PAYMENT;******** *** **** ***** ***** ** **********;-£4.30;+£87.81;
02/08/2025;CARD PAYMENT;************ ** ***** **** ***** ***** ** **********;-£2.50;+£92.11;
02/08/2025;CARD PAYMENT;*** ****** ******** * **** ***** ***** ** **********;-£4.99;+£94.61;
01/08/2025;CARD PAYMENT;****** ******** ****** **** ***** ***** ** **********;-£2.10;+£99.60;
01/08/2025;CARD PAYMENT;********** *********** **** ***** ***** ** **********;-£5.00;+£101.70;
01/08/2025;PAYMENT;****** ******** ******* ********** **** * **** * *******;+£370.00;+£106.70;
01/08/2025;CARD PAYMENT;**** ***** **** ***** ***** ** **********;-£38.00;-£263.30;
01/08/2025;CARD PAYMENT;****** ******* ***** **** ***** ***** ** **********;-£26.20;-£225.30;
01/08/2025;CARD PAYMENT;******* **** ***** ***** ** **********;-£5.00;-£199.10;
31/07/2025;CARD PAYMENT;******* *** **** **** ***** ***** ** **********;-£2.50;-£194.10;
31/07/2025;PAYMENTS;**** ******* *** ****** ******* ** ******* **** ********* **** * ******* ** ***;-£24.50;-£191.60;
31/07/2025;CARD PAYMENT;****** **** ********** **** ***** ***** ** **********;-£3.99;-£167.10;
